1	-2.058	2.058	-1.840
2	-1.734	1.734	-2.039
3	-1.400	1.400	-2.203
4	-1.059	1.059	-2.332
5	-0.711	0.711	-2.425
6	-0.360	0.360	-2.481
7	-0.006	0.006	-2.500
8	0.346	-0.346	-2.482
9	0.698	-0.698	-2.427
10	1.046	-1.046	-2.336
11	1.387	-1.387	-2.209
12	1.722	-1.722	-2.046
13	2.046	-2.046	-1.848
14	2.345	-2.345	-1.584
15	2.582	-2.582	-1.214
16	2.745	-2.745	-0.772
17	2.876	-2.876	-0.307
18	2.983	-2.983	0.169
19	3.066	-3.066	0.655
20	3.123	-3.123	1.148
21	3.156	-3.156	1.646
22	3.163	-3.163	2.146
23	3.145	-3.145	2.645
24	3.101	-3.101	3.141
25	3.033	-3.033	3.631
26	2.939	-2.939	4.113
27	2.816	-2.816	4.582
28	2.655	-2.655	5.027
29	2.459	-2.459	5.443
30	2.231	-2.231	5.824
31	1.974	-1.974	6.167
32	1.690	-1.690	6.465
33	1.384	-1.384	6.715
34	1.060	-1.060	6.914
35	0.722	-0.722	7.059
36	0.374	-0.374	7.148
37	0.021	-0.021	7.180
38	-0.332	0.332	7.155
39	-0.680	0.680	7.072
40	-1.020	1.020	6.934
41	-1.346	1.346	6.742
42	-1.654	1.654	6.497
43	-1.940	1.940	6.205
44	-2.201	2.201	5.868
45	-2.433	2.433	5.491
46	-2.633	2.633	5.079
47	-2.798	2.798	4.637
48	-2.926	2.926	4.171
49	-3.023	3.023	3.690
50	-3.094	3.094	3.201
51	-3.141	3.141	2.705
52	-3.162	3.162	2.206
53	-3.158	3.158	1.706
54	-3.129	3.129	1.208
55	-3.074	3.074	0.714
56	-2.995	2.995	0.227
57	-2.890	2.890	-0.251
58	-2.762	2.762	-0.716
59	-2.605	2.605	-1.164
60	-2.377	2.377	-1.544
