1	406991.006	45858.738	20.729
2	406990.730	45859.105	20.530
3	406990.447	45859.483	20.366
4	406990.157	45859.869	20.237
5	406989.863	45860.262	20.144
6	406989.564	45860.660	20.088
7	406989.264	45861.060	20.069
8	406988.965	45861.459	20.087
9	406988.667	45861.857	20.142
10	406988.372	45862.250	20.233
11	406988.082	45862.637	20.360
12	406987.798	45863.015	20.523
13	406987.523	45863.382	20.721
14	406987.269	45863.720	20.985
15	406987.068	45863.988	21.355
16	406986.930	45864.173	21.797
17	406986.819	45864.321	22.262
18	406986.728	45864.442	22.738
19	406986.657	45864.536	23.224
20	406986.609	45864.601	23.717
21	406986.581	45864.637	24.215
22	406986.575	45864.645	24.715
23	406986.591	45864.625	25.214
24	406986.627	45864.576	25.710
25	406986.686	45864.498	26.200
26	406986.765	45864.392	26.682
27	406986.870	45864.253	27.151
28	406987.006	45864.071	27.596
29	406987.172	45863.849	28.012
30	406987.366	45863.591	28.393
31	406987.584	45863.300	28.736
32	406987.825	45862.979	29.034
33	406988.085	45862.633	29.284
34	406988.360	45862.266	29.483
35	406988.646	45861.884	29.628
36	406988.942	45861.490	29.717
37	406989.241	45861.091	29.749
38	406989.540	45860.692	29.724
39	406989.836	45860.297	29.641
40	406990.124	45859.913	29.503
41	406990.401	45859.545	29.311
42	406990.662	45859.196	29.066
43	406990.905	45858.872	28.774
44	406991.127	45858.577	28.437
45	406991.324	45858.314	28.060
46	406991.493	45858.088	27.648
47	406991.633	45857.901	27.206
48	406991.742	45857.757	26.740
49	406991.824	45857.647	26.259
50	406991.885	45857.566	25.770
51	406991.924	45857.513	25.274
52	406991.942	45857.489	24.775
53	406991.939	45857.494	24.275
54	406991.914	45857.527	23.777
55	406991.867	45857.589	23.283
56	406991.800	45857.679	22.796
57	406991.711	45857.797	22.318
58	406991.603	45857.942	21.853
59	406991.469	45858.120	21.405
60	406991.276	45858.377	21.025
